YYMM,îNéüó›êœ
1804,787
1805,1987
1806,2706
1807,3881
1808,4975
1809,6272
1810,7151
1811,8126
1812,9293
1901,10265
1902,11628
1903,12597
1904,1208
1905,2539
1906,3470
1907,4282
1908,5413
1909,6929
1910,8621
1911,9862
1912,10886
2001,12327
2002,13616
2003,15193
2004,1303
2005,2456
2006,3695
2007,5121
2008,6214
2009,7467
2010,8877
2011,9511
2012,10340
2101,11676
2102,12719
2103,14121
2104,1158
2105,2290
2106,3177
2107,4727
2108,6101
2109,7216
2110,8877
2111,9992
2112,10921
2201,11627
2202,13215
2203,14663
2204,1046
2205,2371
2206,3099
2207,4690
2208,5550
2209,null
2210,null
2211,null
2212,null
2301,null
2302,null
2303,null
